date;traffic-source;traffic-details;users;visits;pageviews;bounceRate;pageDepth;avgVisitDurationSeconds
2019-10-25;Social network traffic;VKontakte;1;1;3;0;3;77
2019-10-25;Social network traffic;VKontakte;2;2;9;50;4,5;255
2019-10-25;Social network traffic;VKontakte;6;7;14;0;2;44,57142857
2019-10-25;Messenger traffic;Telegram;1;1;1;100;1;0
2019-10-26;Internal traffic;;3;3;3;33,33333333;1;10,33333333
2019-10-26;Internal traffic;;4;4;4;0;1;15,25
2019-10-26;Direct traffic;;6;6;11;0;1,83333333;65,83333333
2019-10-26;Direct traffic;;4;4;10;0;2,5;130
2019-10-26;Direct traffic;;5;5;12;0;2,4;135,6
2019-10-26;Link traffic;link.2gis.ru;1;1;4;0;4;408
2019-10-26;Link traffic;littleone.com;1;1;1;0;1;16
2019-10-26;Search engine traffic;Yandex;1;1;6;0;6;280
2019-10-26;Search engine traffic;Yandex;1;1;3;0;3;77
2019-10-26;Search engine traffic;Yandex;5;6;13;0;2,16666667;118,5
2019-10-26;Search engine traffic;Google;1;1;1;100;1;0
2019-10-26;Search engine traffic;Google;1;1;1;100;1;0
2019-10-26;Search engine traffic;Google;4;4;6;0;1,5;53,5
2019-10-26;Social network traffic;VKontakte;1;1;3;0;3;85
2019-10-26;Social network traffic;VKontakte;13;16;34;6,25;2,125;64,625
2019-10-27;Internal traffic;;1;1;2;0;2;28
2019-10-27;Internal traffic;;1;1;5;0;5;610
2019-10-27;Direct traffic;;2;2;2;0;1;15,5
2019-10-27;Direct traffic;;3;3;5;0;1,66666667;39,33333333
2019-10-27;Direct traffic;;5;5;23;0;4,6;1105,6
2019-10-27;Link traffic;link.2gis.ru;1;1;5;0;5;684
2019-10-27;Link traffic;mail.yandex.ru;1;1;1;0;1;17
2019-10-27;Link traffic;mirpeterburga.ru;1;1;1;0;1;15
2019-10-27;Link traffic;spbgaidara.ru;1;1;2;0;2;33
2019-10-27;Link traffic;spbgaidara.ru;1;1;1;0;1;16
2019-10-27;Link traffic;spblib.ru;2;2;2;0;1;17
2019-10-27;Search engine traffic;Yandex;2;2;3;0;1,5;35,5
2019-10-27;Search engine traffic;Yandex;7;9;29;11,11111111;3,22222222;259,3333333
2019-10-27;Search engine traffic;Google;2;2;5;50;2,5;448
2019-10-27;;;1;1;1;100;1;0
2019-10-27;Social network traffic;VKontakte;5;6;12;33,33333333;2;39,5
2019-10-27;Social network traffic;VKontakte;9;14;41;0;2,92857143;331
2019-10-28;Internal traffic;;4;9;113;0;12,55555556;1279
2019-10-28;Internal traffic;;1;1;3;0;3;1098
2019-10-28;Internal traffic;;7;8;40;0;5;415,25
2019-10-28;Direct traffic;;54;54;121;25,92592593;2,24074074;188,1666667
2019-10-28;Direct traffic;;4;4;15;25;3,75;201
2019-10-28;Direct traffic;;10;12;33;0;2,75;92,91666667
2019-10-28;Link traffic;2childlibrary.ucoz.ru;1;1;1;0;1;15
2019-10-28;Link traffic;spblib.ru;1;1;4;0;4;456
